,RELIANCE,TCS,HDFCBANK,INFY,ICICIBANK,HINDUNILVR,ITC,SBIN,BHARTIARTL,WIPRO,SUNPHARMA,BAJFINANCE,MARUTI,ADANIENT
RELIANCE,1.0,0.28090770230442835,0.39274721019206327,0.23211192804713207,0.3486471473236705,0.15690151946240938,0.3346312641428598,0.4878748949234854,0.38961294295935794,0.30794797702398147,0.2758857265434127,0.35318284812799056,0.36511882755339975,0.43306680040781137
TCS,0.28090770230442835,1.0,0.1916152027203217,0.7393673580563876,0.19252005155811663,0.1758790248442995,0.18600062084437138,0.17233404929017607,0.25839611110136484,0.6226694660399166,0.18742313799913124,0.21886250221650436,0.21799784510183967,0.13372334849471204
HDFCBANK,0.39274721019206327,0.1916152027203217,1.0,0.20474852954210013,0.5654511623423757,0.14340814228670773,0.2645674769909393,0.4318111903751167,0.2931924005041666,0.1995119427761273,0.1464068096732596,0.4812395751967251,0.3354760196509232,0.4295252451394899
INFY,0.23211192804713207,0.7393673580563876,0.20474852954210013,1.0,0.20356571923396102,0.14387852177580632,0.14685789526891246,0.15531511718992494,0.2714931022064335,0.6117535579117339,0.15819162569110234,0.23125349637129686,0.1976308967637629,0.1583979362332522
ICICIBANK,0.3486471473236705,0.19252005155811663,0.5654511623423757,0.20356571923396102,1.0,0.14626869928602682,0.25446210288732685,0.4857992711699949,0.39470191250470577,0.20971556177836,0.22120670036298734,0.4152030910918817,0.29464449239694296,0.3935044742410307
HINDUNILVR,0.15690151946240938,0.1758790248442995,0.14340814228670773,0.14387852177580632,0.14626869928602682,1.0,0.37173281811948755,0.0029814235257906536,0.16054752797860355,0.04165399175543896,0.10125699384651406,0.1478426894295287,0.24256573149795232,0.04666120290058685
ITC,0.3346312641428598,0.18600062084437138,0.2645674769909393,0.14685789526891246,0.25446210288732685,0.37173281811948755,1.0,0.2429867700217728,0.2686000633271834,0.1364070227781405,0.16743195748224796,0.23501062705593684,0.2556675052309515,0.2614485367675151
SBIN,0.4878748949234854,0.17233404929017607,0.4318111903751167,0.15531511718992494,0.4857992711699949,0.0029814235257906536,0.2429867700217728,1.0,0.29652522043388313,0.22281811207876426,0.1459502334565911,0.4221779632457632,0.2952609597840048,0.5420712968602138
BHARTIARTL,0.38961294295935794,0.25839611110136484,0.2931924005041666,0.2714931022064335,0.39470191250470577,0.16054752797860355,0.2686000633271834,0.29652522043388313,1.0,0.2573607925974836,0.3129069162420522,0.2991846852019405,0.33872660906971847,0.31236611632848194
WIPRO,0.30794797702398147,0.6226694660399166,0.1995119427761273,0.6117535579117339,0.20971556177836,0.04165399175543896,0.1364070227781405,0.22281811207876426,0.2573607925974836,1.0,0.2147931667279776,0.24010395321147873,0.15066922230925206,0.23773679654866112
SUNPHARMA,0.2758857265434127,0.18742313799913124,0.1464068096732596,0.15819162569110234,0.22120670036298734,0.10125699384651406,0.16743195748224796,0.1459502334565911,0.3129069162420522,0.2147931667279776,1.0,0.15456295437717513,0.21264526486545543,0.2546961441974945
BAJFINANCE,0.35318284812799056,0.21886250221650436,0.4812395751967251,0.23125349637129686,0.4152030910918817,0.1478426894295287,0.23501062705593684,0.4221779632457632,0.2991846852019405,0.24010395321147873,0.15456295437717513,1.0,0.4365506259268456,0.4064237551397366
MARUTI,0.36511882755339975,0.21799784510183967,0.3354760196509232,0.1976308967637629,0.29464449239694296,0.24256573149795232,0.2556675052309515,0.2952609597840048,0.33872660906971847,0.15066922230925206,0.21264526486545543,0.4365506259268456,1.0,0.3535621576522518
ADANIENT,0.43306680040781137,0.13372334849471204,0.4295252451394899,0.1583979362332522,0.3935044742410307,0.04666120290058685,0.2614485367675151,0.5420712968602138,0.31236611632848194,0.23773679654866112,0.2546961441974945,0.4064237551397366,0.3535621576522518,1.0
