,Symbol,Company,Sector,Return_30D_Pct,Return_YTD_Pct,Return_Total_Pct,Latest_Close
13,ADANIENT,Adani Enterprises,Conglomerate / Infrastructure,10.83,0.04,-26.24,2260.8
5,HINDUNILVR,Hindustan Unilever,FMCG,6.43,1.97,4.69,2368.8
9,WIPRO,Wipro,Information Technology,4.4,-23.7,-11.71,204.0
4,ICICIBANK,ICICI Bank,Banking & Finance,4.13,2.21,25.44,1367.6
1,TCS,Tata Consultancy Services,Information Technology,-0.75,-21.35,-34.49,2538.5
6,ITC,ITC Limited,FMCG,-1.36,-16.04,-26.08,305.5
11,BAJFINANCE,Bajaj Finance,Banking & Finance,-1.63,-3.94,28.76,934.75
8,BHARTIARTL,Bharti Airtel,Telecommunications,-2.23,-13.33,36.25,1829.0
0,RELIANCE,Reliance Industries,Oil & Gas / Conglomerate,-3.04,-13.55,-6.66,1362.1
3,INFY,Infosys,Information Technology,-3.04,-22.16,-12.05,1268.6
7,SBIN,State Bank of India,Banking & Finance,-3.47,12.04,42.73,1103.3
12,MARUTI,Maruti Suzuki,Automobile,-5.81,-20.18,2.62,13337.0
2,HDFCBANK,HDFC Bank,Banking & Finance,-6.67,-19.3,6.12,799.9
10,SUNPHARMA,Sun Pharmaceutical,Pharmaceuticals,-7.2,-2.98,12.47,1669.8
